
 Version: 2.1
 Chunks: 1
 Start: 2026-09-10 00:44:50 (UTC)
 Duration: 4 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      2906         74285
 jdk.PromoteObjectInNewPLAB               1871         31763
 jdk.ObjectAllocationSample                804         12006
 jdk.ModuleExport                          516          4987
 jdk.BooleanFlag                           505         14860
 jdk.SystemProcess                         377         40211
 jdk.TenuringDistribution                  360          3688
 jdk.ActiveSetting                         360         10031
 jdk.ExecutionSample                       180          1974
 jdk.LongFlag                              161          5059
 jdk.ModuleRequire                         153          1377
 jdk.GCPhasePauseLevel1                    132          5168
 jdk.UnsignedLongFlag                      132          4350
 jdk.MetaspaceChunkFreeListSummary         116          2088
 jdk.GCReferenceStatistics                 116          1166
 jdk.InitialEnvironmentVariable             87          5842
 jdk.GCPhasePauseLevel2                     80          3007
 jdk.Deoptimization                         70          1705
 jdk.Checkpoint                             59        158807
 jdk.GCHeapSummary                          58          2184
 jdk.MetaspaceSummary                       58          2842
 jdk.G1HeapSummary                          58          1426
 jdk.InitialSecurityProperty                49          2523
 jdk.NativeMethodSample                     47           517
 jdk.SafepointBegin                         38           514
 jdk.ExecuteVMOperation                     38           627
 jdk.JavaErrorThrow                         35          2591
 jdk.ThreadEnd                              34           306
 jdk.GCCPUTime                              34           526
 jdk.GCPhasePause                           34           816
 jdk.PromoteObjectOutsidePLAB               30           473
 jdk.GCPhaseConcurrent                      30          1363
 jdk.NativeLibrary                          30          1885
 jdk.GarbageCollection                      29           654
 jdk.G1MMU                                  29           377
 jdk.StringFlag                             28          1006
 jdk.ThreadAllocationStatistics             27           246
 jdk.IntFlag                                25           910
 jdk.GCPhaseConcurrentLevel1                20           742
 jdk.ThreadStart                            19           208
 jdk.YoungGarbageCollection                 19           246
 jdk.G1GarbageCollection                    19           246
 jdk.EvacuationInformation                  19           485
 jdk.G1EvacuationYoungStatistics            19           498
 jdk.G1EvacuationOldStatistics              19           476
 jdk.G1BasicIHOP                            19           726
 jdk.G1AdaptiveIHOP                         19           730
 jdk.ThreadCPULoad                          17           272
 jdk.InitialSystemProperty                  15          2161
 jdk.DoubleFlag                             15           590
 jdk.UnsignedIntFlag                        14           459
 jdk.OldGarbageCollection                   10           120
 jdk.GCHeapMemoryPoolUsage                   6           209
 jdk.ClassLoaderStatistics                   6           157
 jdk.CodeCacheStatistics                     6           189
 jdk.FileRead                                5            91
